epoch,R_int,R_bc
1.0,1445.65185546875,3.7174443150433945e-06
2.0,1328.4871826171875,0.00028936355374753475
3.0,1223.0897216796875,0.0009204554371535778
4.0,1129.034912109375,0.0015150542603805661
5.0,1045.4041748046875,0.001873248489573598
6.0,970.9728393554688,0.0019527095137163997
7.0,904.453857421875,0.0018055643886327744
8.0,844.65234375,0.0015193900326266885
9.0,790.5292358398438,0.0011816337937489152
10.0,741.2067260742188,0.000858540995977819
11.0,695.984130859375,0.0005883651319891214
12.0,654.2999267578125,0.0003842788573820144
13.0,615.73486328125,0.00024227230460382998
14.0,579.9737548828125,0.00015117909060791135
15.0,546.781494140625,9.958717419067398e-05
16.0,515.9810180664062,7.821049075573683e-05
17.0,487.4248352050781,7.934358291095123e-05
18.0,460.9808349609375,9.502850298304111e-05
19.0,436.5274963378906,0.00011680574243655428
20.0,413.94561767578125,0.00013758517161477357
21.0,393.1153869628906,0.00015268764400389045
22.0,373.909423828125,0.0001607371959835291
23.0,356.20294189453125,0.0001626301382202655
24.0,339.871826171875,0.00016061592032201588
25.0,324.7911682128906,0.00015661175712011755
26.0,310.8451232910156,0.00015163636999204755
27.0,297.9248352050781,0.00014539004769176245
28.0,285.9277038574219,0.00013699625560548156
29.0,274.7647705078125,0.00012564465578179806
30.0,264.3557434082031,0.00011141742288600653
31.0,254.62925720214844,9.572204726282507e-05
32.0,245.5215606689453,8.061348489718512e-05
33.0,236.97918701171875,6.809674960095435e-05
34.0,228.95343017578125,5.922587661189027e-05
35.0,221.4011688232422,5.398787106969394e-05
36.0,214.28395080566406,5.12428923684638e-05
37.0,207.56716918945312,4.928077760268934e-05
38.0,201.21896362304688,4.679361154558137e-05
39.0,195.21063232421875,4.3477128201629966e-05
40.0,189.51548767089844,3.9819209632696584e-05
41.0,184.1086883544922,3.683292379719205e-05
42.0,178.96868896484375,3.541505429893732e-05
43.0,174.0755615234375,3.579820258892141e-05
44.0,169.41160583496094,3.759780520340428e-05
45.0,164.96273803710938,3.995487350039184e-05
46.0,160.71580505371094,4.2007210140582174e-05
47.0,156.6591339111328,4.3262887629680336e-05
48.0,152.78329467773438,4.373251795186661e-05
49.0,149.07835388183594,4.3470627133501694e-05
50.0,145.53494262695312,4.264043673174456e-05
51.0,142.1431427001953,4.1263810999225825e-05
52.0,138.8933563232422,3.918691800208762e-05
53.0,135.77545166015625,3.6280871427152306e-05
54.0,132.77899169921875,3.268241198384203e-05
55.0,129.89356994628906,2.8741660571540706e-05
56.0,127.10893249511719,2.5015833671204746e-05
57.0,124.4165267944336,2.1987252694088966e-05
58.0,121.80824279785156,1.9858967789332382e-05
59.0,119.27742004394531,1.863199759100098e-05
60.0,116.81890869140625,1.8118922525900416e-05
61.0,114.4295883178711,1.8126851500710472e-05
62.0,112.10717010498047,1.8576987713458948e-05
63.0,109.84989166259766,1.9354418327566236e-05
64.0,107.65726470947266,2.031815893133171e-05
65.0,105.52827453613281,2.1297097191563807e-05
66.0,103.46176147460938,2.1993391783325933e-05
67.0,101.45612335205078,2.216313441749662e-05
68.0,99.50872802734375,2.1725280021200888e-05
69.0,97.61703491210938,2.0766212401213124e-05
70.0,95.777099609375,1.94829044630751e-05
71.0,93.98553466796875,1.80812603503e-05
72.0,92.23941040039062,1.6694641089998186e-05
73.0,90.53515625,1.5396566595882177e-05
74.0,88.8702163696289,1.4231989553081803e-05
75.0,87.24219512939453,1.327833433606429e-05
76.0,85.65027618408203,1.2576761037053075e-05
77.0,84.09269714355469,1.209366018883884e-05
78.0,82.56878662109375,1.179073478851933e-05
79.0,81.07756805419922,1.1558166079339571e-05
80.0,79.618896484375,1.1343163350829855e-05
81.0,78.19139862060547,1.1138925401610322e-05
82.0,76.79464721679688,1.0953019227599725e-05
83.0,75.42743682861328,1.0811373613250908e-05
84.0,74.08883666992188,1.0696276149246842e-05
85.0,72.77790832519531,1.056216933648102e-05
86.0,71.4945297241211,1.0387732800154481e-05
87.0,70.23765563964844,1.0165616004087497e-05
88.0,69.00721740722656,9.878398486762308e-06
89.0,67.80239868164062,9.522126674710307e-06
90.0,66.62225341796875,9.082530596060678e-06
91.0,65.46635437011719,8.565477401134558e-06
92.0,64.3336410522461,8.015810635697562e-06
93.0,63.223201751708984,7.4788831625483e-06
94.0,62.133750915527344,7.022386853350326e-06
95.0,61.06494140625,6.64695153318462e-06
96.0,60.015804290771484,6.3606116782466415e-06
97.0,58.985843658447266,6.171949735289672e-06
98.0,57.97509765625,6.030590611771913e-06
99.0,56.98332214355469,5.9415715440991335e-06
100.0,56.01065444946289,5.842108748765895e-06
101.0,55.05653381347656,5.724524271499831e-06
102.0,54.12090301513672,5.576209332502913e-06
103.0,53.2032470703125,5.405260708357673e-06
104.0,52.303165435791016,5.228921509115025e-06
105.0,51.42009353637695,5.034415607951814e-06
106.0,50.55387878417969,4.839810117118759e-06
107.0,49.704036712646484,4.63815922557842e-06
108.0,48.870361328125,4.429991349752527e-06
109.0,48.05244445800781,4.219737547828117e-06
110.0,47.2499885559082,4.00129238187219e-06
111.0,46.462650299072266,3.789521770158899e-06
112.0,45.69009780883789,3.582354793252307e-06
113.0,44.93210983276367,3.4020358725683764e-06
114.0,44.1879997253418,3.2510085929970955e-06
115.0,43.457828521728516,3.1257911814464023e-06
116.0,42.741172790527344,3.0169815090630436e-06
117.0,42.03803634643555,2.928913545474643e-06
118.0,41.348209381103516,2.84335555988946e-06
119.0,40.671573638916016,2.7536334528122097e-06
120.0,40.007816314697266,2.6554450869298307e-06
121.0,39.356685638427734,2.552622618168243e-06
122.0,38.718177795410156,2.4467817638651468e-06
123.0,38.09165954589844,2.3417064767272677e-06
124.0,37.47726821899414,2.2314616217045113e-06
125.0,36.874725341796875,2.1166442820685916e-06
126.0,36.283695220947266,2.011146079894388e-06
127.0,35.703922271728516,1.9064888192588114e-06
128.0,35.13529968261719,1.8062246454064734e-06
129.0,34.57752227783203,1.711966319817293e-06
130.0,34.030513763427734,1.6266213833660004e-06
131.0,33.49397659301758,1.55024849846086e-06
132.0,32.967811584472656,1.4804469401497045e-06
133.0,32.45174026489258,1.4145354043648695e-06
134.0,31.945547103881836,1.3542085071094334e-06
135.0,31.44927978515625,1.2994768212593044e-06
136.0,30.962488174438477,1.243084398083738e-06
137.0,30.485132217407227,1.1890148243764997e-06
138.0,30.016923904418945,1.1372516155461199e-06
139.0,29.557846069335938,1.0823525826708646e-06
140.0,29.107568740844727,1.0296927257513744e-06
141.0,28.666128158569336,9.75321427176823e-07
142.0,28.23310089111328,9.224125960827223e-07
143.0,27.808368682861328,8.74615352586261e-07
144.0,27.391862869262695,8.287955779451295e-07
145.0,26.98331069946289,7.862233815103536e-07
146.0,26.582456588745117,7.441773846039723e-07
147.0,26.189321517944336,7.072652579154237e-07
148.0,25.803508758544922,6.72498799758614e-07
