epoch,R_int,R_bc
1.0,399.6083679199219,1.504317026501667e-08
2.0,384.53448486328125,0.000246006587985903
3.0,370.7861328125,0.0008706972002983093
4.0,358.7414855957031,0.0016911991406232119
5.0,348.802490234375,0.0025334444362670183
6.0,341.1976623535156,0.003240712219849229
7.0,335.9500732421875,0.0036952700465917587
8.0,332.8545227050781,0.003860988188534975
9.0,331.5794677734375,0.003775026649236679
10.0,331.7611999511719,0.0035095815546810627
11.0,333.0372619628906,0.0031436681747436523
12.0,335.04058837890625,0.0027471925131976604
13.0,337.3887634277344,0.002374308882281184
14.0,339.6899108886719,0.002060133032500744
15.0,341.5702209472656,0.00182103062979877
16.0,342.7222595214844,0.0016610787715762854
17.0,342.9444885253906,0.001578083960339427
18.0,342.1639099121094,0.0015687624691054225
19.0,340.4361572265625,0.001628735801205039
20.0,337.9228820800781,0.0017510841134935617
21.0,334.86639404296875,0.0019238493405282497
22.0,331.5559387207031,0.0021285645198076963
23.0,328.2922668457031,0.002339765662327409
24.0,325.35064697265625,0.0025280164554715157
25.0,322.9454345703125,0.0026645497418940067
26.0,321.20458984375,0.0027282587252557278
27.0,320.1553955078125,0.0027102897875010967
28.0,319.7344665527344,0.0026153346989303827
29.0,319.8072204589844,0.0024595893919467926
30.0,320.1874694824219,0.002266373485326767
31.0,320.6618957519531,0.0020604953169822693
32.0,321.010986328125,0.0018640223424881697
33.0,321.02880859375,0.0016937288455665112
34.0,320.543212890625,0.00155984191223979
35.0,319.4338684082031,0.0014671164099127054
36.0,317.6474304199219,0.0014157346449792385
37.0,315.2016906738281,0.0014021778479218483
38.0,312.1822204589844,0.001418829197064042
39.0,308.7286682128906,0.0014537109527736902
40.0,305.0102233886719,0.001490734051913023
41.0,301.2019348144531,0.0015110238455235958
42.0,297.4460144042969,0.0014980025589466095
43.0,293.82379150390625,0.0014405751135200262
44.0,290.3276672363281,0.0013385536149144173
45.0,286.8410949707031,0.0012038456043228507
46.0,283.138916015625,0.001057945191860199
47.0,278.9136962890625,0.000926898093894124
48.0,273.8617248535156,0.0008320425404235721
49.0,267.8228454589844,0.0007817712030373514
50.0,260.8603515625,0.0007662407588213682
51.0,253.20042419433594,0.000757733709178865
52.0,245.03404235839844,0.0007293018279597163
53.0,236.3329315185547,0.0006763450219295919
54.0,226.8252716064453,0.0006135109579190612
55.0,216.24722290039062,0.0005491648335009813
56.0,204.62777709960938,0.00047501883818767965
57.0,192.11639404296875,0.0003771586052607745
58.0,178.5948028564453,0.00027363840490579605
59.0,163.80384826660156,0.00020204734755679965
60.0,148.0082244873047,0.0001596551446709782
61.0,131.9552001953125,0.00012651602446567267
62.0,116.25445556640625,0.00010675009980332106
63.0,101.55448913574219,0.00010463212674949318
64.0,89.19349670410156,9.36283468035981e-05
