epoch,R_int,R_bc
1.0,372.7408447265625,6.105430202296702e-06
2.0,332.66632080078125,0.0009365992154926062
3.0,305.5483093261719,0.0005822660168632865
4.0,281.315673828125,7.496735634049401e-05
5.0,257.2198181152344,2.6348325263825245e-05
6.0,233.64976501464844,0.00010943804954877123
7.0,211.54966735839844,6.39800782664679e-05
8.0,191.1787567138672,4.2390829548821785e-06
9.0,172.39479064941406,2.7018948458135128e-05
10.0,155.00372314453125,6.263526302063838e-05
11.0,138.84474182128906,4.3632167944451794e-05
12.0,123.79496002197266,5.547703040065244e-06
13.0,109.8132553100586,8.798921044217423e-06
14.0,96.96546936035156,5.0093844038201496e-05
15.0,85.34896850585938,7.480756903532892e-05
16.0,74.98179626464844,5.5342450650641695e-05
17.0,65.7713623046875,1.9919685655622743e-05
18.0,57.577667236328125,4.4487692321126815e-06
19.0,50.272064208984375,9.175281775242183e-06
20.0,43.76335144042969,1.1916152288904414e-05
21.0,38.00223159790039,5.091227649245411e-06
22.0,32.97101593017578,1.6758438050601399e-06
23.0,28.65229034423828,9.892451998894103e-06
24.0,24.998363494873047,1.8636288587003946e-05
25.0,21.925249099731445,1.5200937014014926e-05
26.0,19.336292266845703,4.957125838700449e-06
27.0,17.148054122924805,2.6075731511809863e-06
28.0,15.300065040588379,1.0154361916647758e-05
29.0,13.752453804016113,1.5802561392774805e-05
30.0,12.476318359375,1.2335964129306376e-05
31.0,11.439682960510254,5.247691660770215e-06
32.0,10.594019889831543,2.0976322048227303e-06
33.0,9.879345893859863,2.1665437088813633e-06
34.0,9.243120193481445,1.5746612689326867e-06
35.0,8.657735824584961,1.7141608168458333e-06
36.0,8.121247291564941,6.126520020188764e-06
37.0,7.642894268035889,1.2531900210888125e-05
38.0,7.229288101196289,1.4505203580483794e-05
39.0,6.873858451843262,1.016871101455763e-05
40.0,6.555288791656494,4.39607401858666e-06
41.0,6.246014595031738,1.4635610341429128e-06
42.0,5.9241461753845215,8.759254797041649e-07
43.0,5.584235668182373,8.696192708157469e-07
44.0,5.237496852874756,1.8958169221150456e-06
45.0,4.901893138885498,4.289178832550533e-06
46.0,4.590641975402832,5.861898898729123e-06
47.0,4.3075785636901855,4.6359455154743046e-06
48.0,4.047260761260986,2.015833842961001e-06
49.0,3.8023552894592285,6.051365062376135e-07
50.0,3.568894386291504,6.924636295480013e-07
51.0,3.3490731716156006,8.252109182649292e-07
52.0,3.1492321491241455,6.399471885742969e-07
53.0,2.9749555587768555,7.931000709504588e-07
54.0,2.827427387237549,1.0878101193156908e-06
55.0,2.7029225826263428,8.318360187331564e-07
56.0,2.59635853767395,4.016208094981266e-07
57.0,2.504966974258423,6.713761990795319e-07
58.0,2.428250312805176,1.390102170262253e-06
59.0,2.3667948246002197,1.547070041851839e-06
60.0,2.319148540496826,1.0335812703488045e-06
61.0,2.2812232971191406,5.505701778929506e-07
62.0,2.246833086013794,3.9402596030413406e-07
63.0,2.210763454437256,3.803918957601127e-07
64.0,2.171076774597168,6.151797720121976e-07
65.0,2.1293249130249023,1.1782697129092412e-06
66.0,2.0882866382598877,1.5745555401736056e-06
67.0,2.0488626956939697,1.3613100691145519e-06
68.0,2.0099239349365234,8.127315709316463e-07
69.0,1.9686076641082764,4.591552738020255e-07
70.0,1.9230282306671143,3.809875579463551e-07
71.0,1.8734322786331177,4.7074593112483853e-07
72.0,1.8224459886550903,6.97621203471499e-07
73.0,1.7731084823608398,9.258681643586897e-07
74.0,1.7271780967712402,8.952122811933805e-07
75.0,1.6845228672027588,6.293581691352301e-07
76.0,1.6441367864608765,4.0227780573331984e-07
77.0,1.6050115823745728,3.434643645050528e-07
78.0,1.5670620203018188,3.686812704017939e-07
79.0,1.531059980392456,4.1430104147366364e-07
80.0,1.4976439476013184,4.89763237965235e-07
81.0,1.467003345489502,5.059371233073762e-07
82.0,1.438615322113037,4.338737937814585e-07
83.0,1.4117814302444458,3.587219907785766e-07
84.0,1.3859678506851196,3.472189860076469e-07
85.0,1.3608617782592773,3.4421441341692116e-07
86.0,1.3362541198730469,3.343400294397725e-07
87.0,1.3120737075805664,3.5921786434300884e-07
88.0,1.288262963294983,3.929928595880483e-07
89.0,1.2648884057998657,3.932977961085271e-07
90.0,1.2420257329940796,3.70834413843113e-07
91.0,1.219531536102295,3.510126020955795e-07
92.0,1.197291374206543,3.3992114367720205e-07
93.0,1.175144910812378,3.4028130357910413e-07
94.0,1.1532167196273804,3.7508425521082245e-07
95.0,1.1319104433059692,4.131379967020621e-07
96.0,1.1115206480026245,4.101935928702005e-07
97.0,1.0920907258987427,3.8111167555143766e-07
